round,step,MaxD_in,MaxD_out
1,0,0.1512074848,0.1512074848
1,1,0.1512947888,0.1512947888
1,2,0.1515548058,0.1515548058
1,3,0.1519847243,0.1519847243
1,4,0.152581764,0.152581764
1,5,0.1533431587,0.1533431587
1,6,0.1542661342,0.1542661342
1,7,0.1553478827,0.1553478827
1,8,0.1565855323,0.1565855323
1,9,0.1579761142,0.1579761142
1,10,0.1595165261,0.1595165261
1,11,0.1612034934,0.1612034934
1,12,0.1630335283,0.1630335283
1,13,0.1650028866,0.1650028866
1,14,0.1671075239,0.1671075239
1,15,0.1693430503,0.1693430503
1,16,0.1717046847,0.1717046847
1,17,0.1741872098,0.1741872098
1,18,0.1767849271,0.1767849271
1,19,0.1794916139,0.1794916139
1,20,0.182300482,0.182300482
1,21,0.1852041389,0.1852041389
1,22,0.1881945536,0.1881945536
1,23,0.1912630252,0.1912630252
1,24,0.1944001585,0.1944001585
1,25,0.1975958439,0.1975958439
1,26,0.2008392461,0.2008392461
1,27,0.2041187989,0.2041187989
1,28,0.2074222099,0.2074222099
1,29,0.2107364743,0.2107364743
1,30,0.2140478984,0.2140478984
1,31,0.2173421346,0.2173421346
1,32,0.2206042272,0.2206042272
1,33,0.2242222604,0.2242222604
1,34,0.2277799948,0.2277799948
1,35,0.2312533697,0.2312533697
1,36,0.234622926,0.234622926
1,37,0.2378688802,0.2378688802
1,38,0.2409712658,0.2409712658
1,39,0.2439100871,0.2439100871
1,40,0.2466654853,0.2466654853
1,41,0.2492179144,0.2492179144
1,42,0.2515483248,0.2515483248
1,43,0.2536383523,0.2536383523
1,44,0.2750959696,0.2750959696
1,45,0.3007275508,0.2868758793
1,46,0.3272580051,0.2973078304
1,47,0.3544429744,0.3063674825
1,48,0.3819947819,0.3140527462
1,49,0.4136507974,0.3203819242
1,50,0.4632237974,0.3253920037
1,51,0.5141806937,0.3291370503
1,52,0.5655929282,0.3316866469
1,53,0.6163964773,0.3331243214
1,54,0.6654239614,0.3354773888
1,55,0.7182653436,0.3381744262
1,56,0.7731248598,0.3401916412
1,57,0.82151946,0.3436925453
1,58,0.8616471201,0.3463701593
1,59,0.8919436293,0.348107955
1,60,0.9111880204,0.3491491544
1,61,0.9185879947,0.349619066
1,62,0.9138366759,0.3496418921
1,63,0.8971347875,0.3493391912
1,64,0.8691759202,0.3488286641
1,65,0.831096461,0.348223214
1,66,0.7843954309,0.3476302312
1,67,0.73083243,0.347151045
1,68,0.6786001665,0.3468804848
1,69,0.6303405383,0.3469064839
1,70,0.5799784967,0.3473096538
1,71,0.5286995864,0.3481627476
1,72,0.4775963485,0.3505109993
1,73,0.4276335621,0.3543529211
1,74,0.3796244833,0.3591062795
1,75,0.3342181515,0.3646265768
1,76,0.2918969746,0.3708213929
1,77,0.2631434465,0.3775919506
